name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
HD 136418 b,344,2.14 Jupiters,7.879,2009
HD 13724 b,142,26.77 Jupiters,7.89,2019
HD 137388 b,132,0.2 Jupiters,8.696,2011
HD 13908 b,260,0.865 Jupiters,7.508,2013
HD 13908 c,260,5.13 Jupiters,7.508,2013
HD 13931 b,155,2.2 Jupiters,7.597,2009
HD 139357 b,367,9.76 Jupiters,5.964,2008
HD 136352 b,48,4.62 Earths,5.65,2019
HD 136352 c,48,11.29 Earths,5.65,2019
HD 136352 d,48,10.5 Earths,5.65,2019
HD 136418 b,344,2.14 Jupiters,7.879,2009
HD 13724 b,142,26.77 Jupiters,7.89,2019
HD 137388 b,132,0.2 Jupiters,8.696,2011
HD 13908 b,260,0.865 Jupiters,7.508,2013
HD 13908 c,260,5.13 Jupiters,7.508,2013
HD 13931 b,155,2.2 Jupiters,7.597,2009
HD 139357 b,367,9.76 Jupiters,5.964,2008
HD 1397 b,260,0.415 Jupiters,7.781,2018
HD 14067 b,465,7.8 Jupiters,6.53,2014
HD 141399 b,118,0.451 Jupiters,7.2,2014
HD 141399 c,118,1.33 Jupiters,7.2,2014
HD 141399 d,118,1.18 Jupiters,7.2,2014
HD 141399 e,118,0.66 Jupiters,7.2,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,318,3.07 Jupiters,7.63,2011
HD 142415 b,116,1.67 Jupiters,7.327,2003
HD 1397 b,260,0.415 Jupiters,7.781,2018
HD 14067 b,465,7.8 Jupiters,6.53,2014
HD 141399 b,118,0.451 Jupiters,7.2,2014
HD 141399 c,118,1.33 Jupiters,7.2,2014
HD 141399 d,118,1.18 Jupiters,7.2,2014
HD 141399 e,118,0.66 Jupiters,7.2,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,318,3.07 Jupiters,7.63,2011
HD 142415 b,116,1.67 Jupiters,7.327,2003
HD 1397 b,260,0.415 Jupiters,7.781,2018
HD 14067 b,465,7.8 Jupiters,6.53,2014
HD 141399 b,118,0.451 Jupiters,7.2,2014
HD 141399 c,118,1.33 Jupiters,7.2,2014
HD 141399 d,118,1.18 Jupiters,7.2,2014
HD 141399 e,118,0.66 Jupiters,7.2,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,318,3.07 Jupiters,7.63,2011
HD 142415 b,116,1.67 Jupiters,7.327,2003
HD 1397 b,260,0.415 Jupiters,7.781,2018
HD 14067 b,465,7.8 Jupiters,6.53,2014
HD 141399 b,118,0.451 Jupiters,7.2,2014
HD 141399 c,118,1.33 Jupiters,7.2,2014
HD 141399 d,118,1.18 Jupiters,7.2,2014
HD 141399 e,118,0.66 Jupiters,7.2,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,318,3.07 Jupiters,7.63,2011
HD 142415 b,116,1.67 Jupiters,7.327,2003
HD 1397 b,260,0.415 Jupiters,7.781,2018
HD 14067 b,465,7.8 Jupiters,6.53,2014
HD 141399 b,118,0.451 Jupiters,7.2,2014
HD 141399 c,118,1.33 Jupiters,7.2,2014
HD 141399 d,118,1.18 Jupiters,7.2,2014
HD 141399 e,118,0.66 Jupiters,7.2,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,318,3.07 Jupiters,7.63,2011
HD 142415 b,116,1.67 Jupiters,7.327,2003
HD 142 b,85,1.25 Jupiters,5.7,2001
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.896,2017
HD 147513 b,42,1.21 Jupiters,5.39,2003
HD 147873 b,357,5.14 Jupiters,7.96,2016
HD 147873 c,357,2.3 Jupiters,7.96,2016
HD 14787 b,390,1.121 Jupiters,7.63,2018
HD 148156 b,187,0.85 Jupiters,7.689,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 148284 b,397,33.7 Jupiters,9.01,2018
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.896,2017
HD 147513 b,42,1.21 Jupiters,5.39,2003
HD 147873 b,357,5.14 Jupiters,7.96,2016
HD 147873 c,357,2.3 Jupiters,7.96,2016
HD 14787 b,390,1.121 Jupiters,7.63,2018
HD 148156 b,187,0.85 Jupiters,7.689,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 148284 b,397,33.7 Jupiters,9.01,2018
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.896,2017
HD 147513 b,42,1.21 Jupiters,5.39,2003
HD 147873 b,357,5.14 Jupiters,7.96,2016
HD 147873 c,357,2.3 Jupiters,7.96,2016
HD 14787 b,390,1.121 Jupiters,7.63,2018
HD 148156 b,187,0.85 Jupiters,7.689,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 148284 b,397,33.7 Jupiters,9.01,2018
HD 148427 b,233,1.3 Jupiters,6.895,2009
HD 149026 b,248,0.38 Jupiters,8.15,2005
HD 149143 b,240,1.33 Jupiters,7.89,2005
HD 1502 b,626,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.02,2012
HD 152079 b,287,2.661 Jupiters,9.182,2009
HD 152581 b,543,1.869 Jupiters,8.38,2011
HD 15337 b,146,7.51 Earths,9.088,2019
HD 15337 c,146,8.11 Earths,9.088,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.238,2004
HD 154857 c,207,2.58 Jupiters,7.238,2014
HD 155233 b,245,2.6 Jupiters,6.818,2015
HD 155358 b,142,0.99 Jupiters,7.27,2007
HD 155358 c,142,0.82 Jupiters,7.27,2007
HD 156279 b,118,9.88 Jupiters,8.1,2011
HD 156279 c,118,8.6 Jupiters,8.1,2018
HD 156411 b,186,0.74 Jupiters,6.673,2009
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.238,2004
HD 154857 c,207,2.58 Jupiters,7.238,2014
HD 155233 b,245,2.6 Jupiters,6.818,2015
HD 155358 b,142,0.99 Jupiters,7.27,2007
HD 155358 c,142,0.82 Jupiters,7.27,2007
HD 156279 b,118,9.88 Jupiters,8.1,2011
HD 156279 c,118,8.6 Jupiters,8.1,2018
HD 156411 b,186,0.74 Jupiters,6.673,2009
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.238,2004
HD 154857 c,207,2.58 Jupiters,7.238,2014
HD 155233 b,245,2.6 Jupiters,6.818,2015
HD 155358 b,142,0.99 Jupiters,7.27,2007
HD 155358 c,142,0.82 Jupiters,7.27,2007
HD 156279 b,118,9.88 Jupiters,8.1,2011
HD 156279 c,118,8.6 Jupiters,8.1,2018
HD 156411 b,186,0.74 Jupiters,6.673,2009
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.238,2004
HD 154857 c,207,2.58 Jupiters,7.238,2014
HD 155233 b,245,2.6 Jupiters,6.818,2015
HD 155358 b,142,0.99 Jupiters,7.27,2007
HD 155358 c,142,0.82 Jupiters,7.27,2007
HD 156279 b,118,9.88 Jupiters,8.1,2011
HD 156279 c,118,8.6 Jupiters,8.1,2018
HD 156411 b,186,0.74 Jupiters,6.673,2009
HD 156668 b,79,4.15 Earths,8.42,2010
HD 156846 b,156,10.67 Jupiters,6.506,2007
HD 158038 b,310,1.53 Jupiters,7.64,2011
HD 158259 b,88,2.22 Earths,6.46,2020
HD 158259 c,88,5.6 Earths,6.46,2020
HD 158259 d,88,5.41 Earths,6.46,2020
HD 158259 e,88,6.08 Earths,6.46,2020
HD 158259 f,88,6.14 Earths,6.46,2020
HD 158996 b,933,14 Jupiters,5.706,2018
HD 159243 b,240,1.13 Jupiters,8.646,2013
HD 156668 b,79,4.15 Earths,8.42,2010
HD 156846 b,156,10.67 Jupiters,6.506,2007
HD 158038 b,310,1.53 Jupiters,7.64,2011
HD 158259 b,88,2.22 Earths,6.46,2020
HD 158259 c,88,5.6 Earths,6.46,2020
HD 158259 d,88,5.41 Earths,6.46,2020
HD 158259 e,88,6.08 Earths,6.46,2020
HD 158259 f,88,6.14 Earths,6.46,2020
HD 158996 b,933,14 Jupiters,5.706,2018
HD 159243 b,240,1.13 Jupiters,8.646,2013
HD 156668 b,79,4.15 Earths,8.42,2010
HD 156846 b,156,10.67 Jupiters,6.506,2007
HD 158038 b,310,1.53 Jupiters,7.64,2011
HD 158259 b,88,2.22 Earths,6.46,2020
HD 158259 c,88,5.6 Earths,6.46,2020
HD 158259 d,88,5.41 Earths,6.46,2020
HD 158259 e,88,6.08 Earths,6.46,2020
HD 158259 f,88,6.14 Earths,6.46,2020
HD 158996 b,933,14 Jupiters,5.706,2018
HD 159243 b,240,1.13 Jupiters,8.646,2013
HD 159243 c,240,1.9 Jupiters,8.646,2013
HD 159868 b,182,2.218 Jupiters,7.24,2006
HD 159868 c,182,0.768 Jupiters,7.24,2012
HD 1605 b,290,0.934 Jupiters,7.52,2015
HD 1605 c,290,3.62 Jupiters,7.52,2015
HD 160691 b,51,1.676 Jupiters,5.15,2000
HD 160691 c,51,1.814 Jupiters,5.15,2004
HD 160691 d,51,10.5547 Earths,5.15,2004
HD 160691 e,51,0.5219 Jupiters,5.15,2006
HD 16141 b,123,0.26 Jupiters,6.83,2000
HD 16175 b,196,5.1 Jupiters,7.282,2009
HD 162020 b,101,9.84 Jupiters,9.1,2002
HD 163607 b,222,0.7836 Jupiters,8,2010
HD 163607 c,222,2.201 Jupiters,8,2010
HD 16417 b,83,22.1 Earths,5.78,2008
HD 164509 b,174,0.443 Jupiters,8.1,2010
HD 164595 b,92,16.14 Earths,7.1,2015
HD 164604 b,129,1.99792 Jupiters,9.7,2009
HD 164922 b,72,0.36497 Jupiters,6.99,2005
HD 164922 c,72,13 Earths,6.99,2016
HD 164922 d,72,4 Earths,6.99,2020
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 164922 d,72,4 Earths,6.99,2020
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 164922 d,72,4 Earths,6.99,2020
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 164922 d,72,4 Earths,6.99,2020
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 164922 d,72,4 Earths,6.99,2020
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 164922 d,72,4 Earths,6.99,2020
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 183263 b,177,3.95 Jupiters,7.861,2004
HD 183263 c,177,3.57 Jupiters,7.861,2008
HD 185269 b,170,1.01 Jupiters,6.67,2006
HD 187085 b,150,0.836 Jupiters,7.225,2006
HD 187123 b,150,0.523 Jupiters,7.832,1998
HD 187123 c,150,1.99 Jupiters,7.832,2008
HD 18742 b,533,3.4 Jupiters,7.81,2011
HD 188015 b,166,1.5 Jupiters,8.234,2004
HD 189733 b,65,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.458,2020
HD 183263 b,177,3.95 Jupiters,7.861,2004
HD 183263 c,177,3.57 Jupiters,7.861,2008
HD 185269 b,170,1.01 Jupiters,6.67,2006
HD 187085 b,150,0.836 Jupiters,7.225,2006
HD 187123 b,150,0.523 Jupiters,7.832,1998
HD 187123 c,150,1.99 Jupiters,7.832,2008
HD 18742 b,533,3.4 Jupiters,7.81,2011
HD 188015 b,166,1.5 Jupiters,8.234,2004
HD 189733 b,65,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.458,2020
HD 183263 b,177,3.95 Jupiters,7.861,2004
HD 183263 c,177,3.57 Jupiters,7.861,2008
HD 185269 b,170,1.01 Jupiters,6.67,2006
HD 187085 b,150,0.836 Jupiters,7.225,2006
HD 187123 b,150,0.523 Jupiters,7.832,1998
HD 187123 c,150,1.99 Jupiters,7.832,2008
HD 18742 b,533,3.4 Jupiters,7.81,2011
HD 188015 b,166,1.5 Jupiters,8.234,2004
HD 189733 b,65,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.458,2020
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 204941 b,94,0.23 Jupiters,8.45,2011
HD 205739 b,303,1.37 Jupiters,8.56,2008
HD 206255 b,246,34.2 Earths,7.618,2019
HD 206610 b,482,2.036 Jupiters,8.34,2009
HD 20781 b,115,1.93 Earths,8.48,2019
HD 20781 c,115,5.33 Earths,8.48,2019
HD 20781 d,115,10.61 Earths,8.48,2019
HD 20781 e,115,14.03 Earths,8.48,2019
HD 20782 b,117,1.4878 Jupiters,7.4,2006
HD 207832 b,193,0.56 Jupiters,8.78,2012
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 213885 c,156,19.95 Earths,7.996,2019
HD 21411 b,95,0.20734 Jupiters,7.885,2019
HD 214823 b,332,20.3 Jupiters,8.06,2016
HD 215152 b,70,1.819 Earths,8.11,2018
HD 215152 c,70,1.72 Earths,8.11,2018
HD 215152 d,70,2.801 Earths,8.11,2018
HD 215152 e,70,2.877 Earths,8.11,2018
HD 215497 b,132,6.3566 Earths,8.96,2009
HD 215497 c,132,0.33 Jupiters,8.96,2009
HD 216435 b,108,1.26 Jupiters,6.03,2002
HD 217786 b,179,13 Jupiters,7.8,2011
HD 217850 b,215,21.6 Jupiters,8.52,2018
HD 218566 b,94,0.2 Jupiters,8.628,2010
HD 219077 b,95,10.39 Jupiters,6.12,2012
HD 219134 b,21,4.74 Earths,5.57,2015
HD 219134 c,21,4.36 Earths,5.57,2015
HD 219134 d,21,16.17 Earths,5.57,2015
HD 219134 f,21,7.3 Earths,5.57,2015
HD 219134 g,21,10.80622 Earths,5.57,2015
HD 219134 h,21,0.34 Jupiters,5.57,2015
HD 217786 b,179,13 Jupiters,7.8,2011
HD 217850 b,215,21.6 Jupiters,8.52,2018
HD 218566 b,94,0.2 Jupiters,8.628,2010
HD 219077 b,95,10.39 Jupiters,6.12,2012
HD 219134 b,21,4.74 Earths,5.57,2015
HD 219134 c,21,4.36 Earths,5.57,2015
HD 219134 d,21,16.17 Earths,5.57,2015
HD 219134 f,21,7.3 Earths,5.57,2015
HD 219134 g,21,10.80622 Earths,5.57,2015
HD 219134 h,21,0.34 Jupiters,5.57,2015
HD 219415 b,541,1 Jupiter,8.94,2012
HD 219666 b,308,16.6 Earths,9.65,2018
HD 219828 b,239,20.97678 Earths,8.04,2007
HD 219828 c,239,14.6 Jupiters,8.04,2016
HD 220074 b,1068,16.64 Jupiters,6.4,2012
HD 220197 b,210,0.2 Jupiters,9,2018
HD 220689 b,153,1.118 Jupiters,7.795,2012
HD 220773 b,160,1.45 Jupiters,7.093,2011
HD 220842 b,204,3.18 Jupiters,7.99,2016
HD 221287 b,183,3.09 Jupiters,7.807,2007
HD 219415 b,541,1 Jupiter,8.94,2012
HD 219666 b,308,16.6 Earths,9.65,2018
HD 219828 b,239,20.97678 Earths,8.04,2007
HD 219828 c,239,14.6 Jupiters,8.04,2016
HD 220074 b,1068,16.64 Jupiters,6.4,2012
HD 220197 b,210,0.2 Jupiters,9,2018
HD 220689 b,153,1.118 Jupiters,7.795,2012
HD 220773 b,160,1.45 Jupiters,7.093,2011
HD 220842 b,204,3.18 Jupiters,7.99,2016
HD 221287 b,183,3.09 Jupiters,7.807,2007
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 231701 b,356,1.13 Jupiters,8.97,2007
HD 233604 b,2833,6.575 Jupiters,10.406,2013
HD 233832 b,192,1.78 Jupiters,10.146,2018
HD 23472 b,127,17.92 Earths,9.724,2019
HD 23472 c,127,17.18 Earths,9.724,2019
HD 23596 b,170,9.03 Jupiters,7.244,2003
HD 238914 b,1720,6 Jupiters,8.79,2018
HD 240210 b,466,5.21 Jupiters,8.33,2009
HD 240237 b,3126,15.89 Jupiters,8.19,2011
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 231701 b,356,1.13 Jupiters,8.97,2007
HD 233604 b,2833,6.575 Jupiters,10.406,2013
HD 233832 b,192,1.78 Jupiters,10.146,2018
HD 23472 b,127,17.92 Earths,9.724,2019
HD 23472 c,127,17.18 Earths,9.724,2019
HD 23596 b,170,9.03 Jupiters,7.244,2003
HD 238914 b,1720,6 Jupiters,8.79,2018
HD 240210 b,466,5.21 Jupiters,8.33,2009
HD 240237 b,3126,15.89 Jupiters,8.19,2011
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 231701 b,356,1.13 Jupiters,8.97,2007
HD 233604 b,2833,6.575 Jupiters,10.406,2013
HD 233832 b,192,1.78 Jupiters,10.146,2018
HD 23472 b,127,17.92 Earths,9.724,2019
HD 23472 c,127,17.18 Earths,9.724,2019
HD 23596 b,170,9.03 Jupiters,7.244,2003
HD 238914 b,1720,6 Jupiters,8.79,2018
